序号,CIDR归属厂商,CIDR归属地,CIDR,IP数量,IP列表
89,Servers Tech Fzco,瑞典 Stockholm 斯德哥尔摩,89.22.234.0/24,6,89.22.234.194;89.22.234.102;89.22.234.164;89.22.234.0;89.22.234.107;89.22.234.167
90,ByteVirt LLC,新加坡 North West 新加坡,89.28.239.0/24,6,89.28.239.171;89.28.239.67;89.28.239.134;89.28.239.163;89.28.239.43;89.28.239.234
91,FORNEX,德国 黑森州 法兰克福,89.127.203.0/24,6,89.127.203.9;89.127.203.68;89.127.203.254;89.127.203.234;89.127.203.129;89.127.203.75
92,EE Limited,英国 英格兰 Martlesham,91.110.174.0/24,6,91.110.174.210;91.110.174.201;91.110.174.202;91.110.174.222;91.110.174.204;91.110.174.205
93,Aeza International LTD,瑞典 Stockholm County 斯德哥尔摩,91.184.240.0/24,6,91.184.240.77;91.184.240.226;91.184.240.102;91.184.240.196;91.184.240.104;91.184.240.59
94,Aeza International LTD,德国 黑森州 法兰克福,92.246.136.0/24,6,92.246.136.90;92.246.136.38;92.246.136.120;92.246.136.119;92.246.136.232;92.246.136.55
95,CGI GLOBAL LIMITED,拉脱维亚 Riga 里加,94.183.191.0/24,6,94.183.191.89;94.183.191.80;94.183.191.227;94.183.191.71;94.183.191.228;94.183.191.31
96,Digital Ocean,荷兰 北荷兰省 阿姆斯特丹,95.85.59.0/24,6,95.85.59.228;95.85.59.242;95.85.59.198;95.85.59.87;95.85.59.127;95.85.59.138
97,Aeza International LTD,德国 黑森州 法兰克福,95.181.174.0/24,6,95.181.174.83;95.181.174.88;95.181.174.28;95.181.174.121;95.181.174.183;95.181.174.21
98,CGI GLOBAL LIMITED,拉脱维亚 Riga 里加,95.182.115.0/24,6,95.182.115.159;95.182.115.48;95.182.115.50;95.182.115.103;95.182.115.61;95.182.115.137
99,Aeza Group LLC,瑞典 Stockholm County 斯德哥尔摩,109.120.134.0/24,6,109.120.134.130;109.120.134.87;109.120.134.104;109.120.134.243;109.120.134.98;109.120.134.216
100,5G Network Operations Pty Ltd,美国 加州 洛杉矶,117.55.233.0/24,6,117.55.233.250;117.55.233.119;117.55.233.168;117.55.233.77;117.55.233.107;117.55.233.87
101,Aeza Group LLC,瑞典 Stockholm County 斯德哥尔摩,138.124.25.0/24,6,138.124.25.250;138.124.25.51;138.124.25.223;138.124.25.159;138.124.25.46;138.124.25.49
102,u1host ltd,德国 黑森州 法兰克福,144.31.192.0/24,6,144.31.192.167;144.31.192.252;144.31.192.63;144.31.192.220;144.31.192.227;144.31.192.102
103,u1host ltd,德国 黑森州 法兰克福,150.241.105.0/24,6,150.241.105.185;150.241.105.51;150.241.105.10;150.241.105.163;150.241.105.29;150.241.105.17
104,ANX Holding GmbH,美国 弗吉尼亚州 馬納薩斯,152.53.31.0/24,6,152.53.31.238;152.53.31.199;152.53.31.200;152.53.31.198;152.53.31.224;152.53.31.206
105,"Cloudflare, Inc.",美国 弗吉尼亚州 阿什本,162.159.39.0/24,6,162.159.39.211;162.159.39.209;162.159.39.91;162.159.39.75;162.159.39.170;162.159.39.150
106,"Cloudflare, Inc.",美国 弗吉尼亚州 阿什本,162.159.44.0/24,6,162.159.44.155;162.159.44.219;162.159.44.142;162.159.44.203;162.159.44.214;162.159.44.225
107,"Cloudflare, Inc.",美国 弗吉尼亚州 阿什本,162.159.45.0/24,6,162.159.45.101;162.159.45.124;162.159.45.234;162.159.45.201;162.159.45.223;162.159.45.187
108,"Cloudflare, Inc.",加拿大 安大略 多伦多,172.64.41.0/24,6,172.64.41.91;172.64.41.161;172.64.41.195;172.64.41.75;172.64.41.98;172.64.41.159
109,Cloudflare WARP,美国 加利福尼亚州 聖荷西,172.69.21.0/24,6,172.69.21.217;172.69.21.150;172.69.21.170;172.69.21.44;172.69.21.177;172.69.21.174
110,As56971,拉脱维亚 Riga 里加,185.92.183.0/24,6,185.92.183.217;185.92.183.36;185.92.183.75;185.92.183.41;185.92.183.102;185.92.183.193
111,Huize Holdings LLC,德国 黑森州 法兰克福,185.210.154.0/24,6,185.210.154.230;185.210.154.62;185.210.154.37;185.210.154.222;185.210.154.58;185.210.154.123
112,Digital Ocean,荷兰 北荷兰省 阿姆斯特丹,188.226.187.0/24,6,188.226.187.182;188.226.187.123;188.226.187.215;188.226.187.129;188.226.187.56;188.226.187.130
113,Veesp SIA,荷兰 North Holland 阿姆斯特丹,188.253.26.0/24,6,188.253.26.128;188.253.26.230;188.253.26.205;188.253.26.40;188.253.26.143;188.253.26.127
114,As56971,拉脱维亚 Riga 里加,193.164.155.0/24,6,193.164.155.179;193.164.155.76;193.164.155.46;193.164.155.38;193.164.155.115;193.164.155.223
115,IT Hostline Ltd,英国 英格兰 Pimlico,194.147.88.0/24,6,194.147.88.45;194.147.88.33;194.147.88.43;194.147.88.44;194.147.88.47;194.147.88.46
116,Vdska KZ1,哈萨克斯坦 Almaty 阿拉木圖,213.155.29.0/24,6,213.155.29.228;213.155.29.229;213.155.29.37;213.155.29.189;213.155.29.177;213.155.29.242
117,CGI GLOBAL LIMITED,法国 法兰西岛 巴黎,217.60.252.0/24,6,217.60.252.191;217.60.252.25;217.60.252.139;217.60.252.116;217.60.252.18;217.60.252.115
118,nuxt.cloud hosting provider,德国 黑森州 法兰克福,2.26.118.0/24,5,2.26.118.141;2.26.118.178;2.26.118.92;2.26.118.96;2.26.118.228
119,nuxt.cloud hosting provider,德国 黑森州 法兰克福,2.26.248.0/24,5,2.26.248.247;2.26.248.179;2.26.248.152;2.26.248.140;2.26.248.89
120,u1host Finland,芬兰 新地区 赫尔辛基,2.27.11.0/24,5,2.27.11.3;2.27.11.127;2.27.11.143;2.27.11.51;2.27.11.208
121,nuxt.cloud hosting provider,德国 黑森州 法兰克福,2.27.18.0/24,5,2.27.18.34;2.27.18.52;2.27.18.30;2.27.18.111;2.27.18.207
122,Hostoff Limited,波兰 Mazovia 华沙,2.27.57.0/24,5,2.27.57.22;2.27.57.100;2.27.57.87;2.27.57.123;2.27.57.85
123,Akari Networks Limited,日本 东京都 东京,5.34.220.0/24,5,5.34.220.83;5.34.220.80;5.34.220.81;5.34.220.82;5.34.220.84
124,Hosting Services,爱沙尼亚 東維魯縣 約赫維,5.45.115.0/24,5,5.45.115.168;5.45.115.238;5.45.115.77;5.45.115.87;5.45.115.162
125,CloudRadium L.L.C,美国 加州 聖荷西,23.224.69.0/24,5,23.224.69.115;23.224.69.118;23.224.69.117;23.224.69.114;23.224.69.116
126,CGI GLOBAL LIMITED,荷兰 北荷兰省 阿姆斯特丹,31.15.18.0/24,5,31.15.18.35;31.15.18.246;31.15.18.56;31.15.18.58;31.15.18.220
127,Individual Entrepreneur Ildar Gilmutdinov,荷兰 弗莱福兰省 Dronten,31.15.19.0/24,5,31.15.19.180;31.15.19.21;31.15.19.66;31.15.19.105;31.15.19.199
128,CGI GLOBAL LIMITED,法国 法兰西岛 巴黎,31.56.146.0/24,5,31.56.146.6;31.56.146.89;31.56.146.206;31.56.146.185;31.56.146.139
129,CGI GLOBAL LIMITED,荷兰 北荷兰省 阿姆斯特丹,31.56.222.0/24,5,31.56.222.222;31.56.222.122;31.56.222.119;31.56.222.167;31.56.222.241
130,CGI GLOBAL LIMITED,拉脱维亚 Riga 里加,31.57.62.0/24,5,31.57.62.173;31.57.62.124;31.57.62.89;31.57.62.175;31.57.62.75
131,CGI GLOBAL LIMITED,拉脱维亚 Riga 里加,31.58.137.0/24,5,31.58.137.94;31.58.137.126;31.58.137.143;31.58.137.132;31.58.137.8
132,CHSL Helsinki,芬兰 新地区 赫尔辛基,31.76.43.0/24,5,31.76.43.150;31.76.43.114;31.76.43.249;31.76.43.108;31.76.43.25
133,SERV.HOST GROUP LTD,德国 黑森州 法兰克福,31.76.64.0/24,5,31.76.64.43;31.76.64.206;31.76.64.211;31.76.64.248;31.76.64.37
134,Senko Digital LLC,德国 黑森州 法兰克福,31.77.161.0/24,5,31.77.161.229;31.77.161.178;31.77.161.120;31.77.161.140;31.77.161.232
135,Digital Ocean,荷兰 北荷兰省 阿姆斯特丹,37.139.1.0/24,5,37.139.1.14;37.139.1.122;37.139.1.251;37.139.1.52;37.139.1.36
136,EGIHosting,美国 加利福尼亚州 圣克拉拉,45.38.228.0/24,5,45.38.228.66;45.38.228.237;45.38.228.28;45.38.228.70;45.38.228.94
137,SIA VEESP,拉脱维亚 Rīga Riga,45.43.76.0/24,5,45.43.76.52;45.43.76.30;45.43.76.175;45.43.76.184;45.43.76.39
138,anyNode,瑞士 伯恩州 伯尔尼,45.59.125.0/24,5,45.59.125.193;45.59.125.61;45.59.125.242;45.59.125.191;45.59.125.106
139,RapidSeedbox Ltd,荷兰 北荷兰省 阿姆斯特丹,45.133.210.0/24,5,45.133.210.159;45.133.210.212;45.133.210.250;45.133.210.34;45.133.210.73
140,RapidSeedbox,英国 英格兰 倫敦,45.136.175.0/24,5,45.136.175.97;45.136.175.153;45.136.175.196;45.136.175.20;45.136.175.3
141,RTM Networks B.V,荷兰 德伦特省 埃門,45.154.33.0/24,5,45.154.33.111;45.154.33.110;45.154.33.112;45.154.33.47;45.154.33.73
142,Akile LTD,日本 东京都 东京,45.192.206.0/24,5,45.192.206.191;45.192.206.184;45.192.206.151;45.192.206.83;45.192.206.31
143,CGI GLOBAL LIMITED,拉脱维亚 Riga 里加,46.8.64.0/24,5,46.8.64.53;46.8.64.95;46.8.64.51;46.8.64.232;46.8.64.246
144,CGI GLOBAL LIMITED,法国 法兰西岛 巴黎,46.8.225.0/24,5,46.8.225.115;46.8.225.124;46.8.225.73;46.8.225.44;46.8.225.9
145,OVH Ltd,英国 英格兰 Erith,57.128.178.0/24,5,57.128.178.122;57.128.178.63;57.128.178.196;57.128.178.42;57.128.178.232
146,NetCrafters OU,瑞典 Stockholm County 斯德哥尔摩,62.60.151.0/24,5,62.60.151.236;62.60.151.252;62.60.151.191;62.60.151.169;62.60.151.202
147,NetCrafters OU,奥地利 Vienna 維也納,62.60.239.0/24,5,62.60.239.199;62.60.239.41;62.60.239.23;62.60.239.2;62.60.239.231
148,RTM GmbH,荷兰 北荷兰省 阿姆斯特丹,62.60.245.0/24,5,62.60.245.17;62.60.245.255;62.60.245.67;62.60.245.155;62.60.245.140
149,nuxt.cloud hosting provider,芬兰 新地区 赫尔辛基,62.60.252.0/24,5,62.60.252.251;62.60.252.83;62.60.252.139;62.60.252.157;62.60.252.216
150,95 LLC,捷克 Prague 布拉格,62.233.57.0/24,5,62.233.57.193;62.233.57.167;62.233.57.172;62.233.57.80;62.233.57.204
151,u1host Finland,芬兰 新地区 赫尔辛基,64.188.93.0/24,5,64.188.93.41;64.188.93.200;64.188.93.158;64.188.93.201;64.188.93.253
152,"Timeweb, LLP",荷兰 北荷兰省 阿姆斯特丹,72.56.115.0/24,5,72.56.115.238;72.56.115.104;72.56.115.164;72.56.115.211;72.56.115.23
153,Aeza Group LLC,奥地利 Vienna 維也納,77.73.131.0/24,5,77.73.131.168;77.73.131.118;77.73.131.207;77.73.131.228;77.73.131.24
154,u1host Finland,芬兰 新地区 赫尔辛基,77.91.85.0/24,5,77.91.85.224;77.91.85.203;77.91.85.226;77.91.85.236;77.91.85.25
155,Aeza Group LLC,瑞典 Stockholm County 斯德哥尔摩,77.110.97.0/24,5,77.110.97.7;77.110.97.92;77.110.97.158;77.110.97.193;77.110.97.230
156,Aeza Group LLC,德国 黑森州 法兰克福,77.110.100.0/24,5,77.110.100.89;77.110.100.63;77.110.100.6;77.110.100.20;77.110.100.51
157,Aeza International LTD,瑞典 Stockholm County 斯德哥尔摩,77.221.143.0/24,5,77.221.143.238;77.221.143.81;77.221.143.170;77.221.143.197;77.221.143.39
158,u1host ltd,德国 黑森州 法兰克福,77.239.101.0/24,5,77.239.101.142;77.239.101.14;77.239.101.8;77.239.101.177;77.239.101.113
159,u1host ltd,德国 黑森州 法兰克福,77.239.104.0/24,5,77.239.104.216;77.239.104.212;77.239.104.183;77.239.104.229;77.239.104.60
160,Senko Digital LLC,德国 黑森州 法兰克福,77.239.120.0/24,5,77.239.120.11;77.239.120.229;77.239.120.9;77.239.120.77;77.239.120.241
161,Aeza Group LLC,荷兰 北荷兰省 阿姆斯特丹,79.137.205.0/24,5,79.137.205.163;79.137.205.77;79.137.205.24;79.137.205.190;79.137.205.184
162,Aeza Group LLC,芬兰 新地区 赫尔辛基,79.137.206.0/24,5,79.137.206.85;79.137.206.195;79.137.206.1;79.137.206.249;79.137.206.187
163,Spacecore Solution LTD,荷兰 德伦特省 Meppel,80.71.227.0/24,5,80.71.227.68;80.71.227.215;80.71.227.44;80.71.227.158;80.71.227.86
164,GF PL GDN,波兰 波美拉尼亞省 格但斯克,82.118.23.0/24,5,82.118.23.18;82.118.23.155;82.118.23.112;82.118.23.154;82.118.23.149
165,Phillips Computing Services,罗马尼亚 Bucharest 布加勒斯特,82.152.132.0/24,5,82.152.132.57;82.152.132.52;82.152.132.14;82.152.132.50;82.152.132.60
166,NetCrafters OU,德国 黑森州 法兰克福,83.147.253.0/24,5,83.147.253.155;83.147.253.78;83.147.253.44;83.147.253.124;83.147.253.187
167,GF GR SKG,希腊 中马其顿大区 塞萨洛尼基,85.90.197.0/24,5,85.90.197.157;85.90.197.158;85.90.197.159;85.90.197.53;85.90.197.156
168,ESA,捷克 南波希米亚州 盧日尼采河畔韋塞利,85.137.167.0/24,5,85.137.167.53;85.137.167.180;85.137.167.101;85.137.167.125;85.137.167.21
169,Aeza Group LLC,芬兰 新地区 赫尔辛基,85.192.25.0/24,5,85.192.25.19;85.192.25.131;85.192.25.132;85.192.25.114;85.192.25.171
170,Global Connectivity Solutions LLP,瑞士 苏黎世州 苏黎世,87.120.222.0/24,5,87.120.222.207;87.120.222.168;87.120.222.199;87.120.222.172;87.120.222.125
171,nuxt.cloud hosting provider,德国 黑森州 法兰克福,87.251.87.0/24,5,87.251.87.217;87.251.87.249;87.251.87.156;87.251.87.213;87.251.87.36
172,"Timeweb, LLP",荷兰 北荷兰省 阿姆斯特丹,89.19.214.0/24,5,89.19.214.216;89.19.214.134;89.19.214.53;89.19.214.117;89.19.214.214
173,Servers Tech Fzco,瑞典 Stockholm 斯德哥尔摩,89.22.227.0/24,5,89.22.227.112;89.22.227.64;89.22.227.190;89.22.227.132;89.22.227.108
174,First Server NET VL,芬兰 新地区 赫尔辛基,91.186.221.0/24,5,91.186.221.115;91.186.221.161;91.186.221.180;91.186.221.202;91.186.221.111
175,ESA,捷克 南波希米亚州 盧日尼采河畔韋塞利,91.199.160.0/24,5,91.199.160.188;91.199.160.39;91.199.160.46;91.199.160.137;91.199.160.38
176,Friendhosting LTD,德国 黑森州 法兰克福,92.42.99.0/24,5,92.42.99.253;92.42.99.21;92.42.99.170;92.42.99.143;92.42.99.39
177,Global Connectivity Solutions LLP,芬兰 新地区 赫尔辛基,93.152.207.0/24,5,93.152.207.163;93.152.207.236;93.152.207.83;93.152.207.174;93.152.207.145
178,H2nexus LTD,德国 黑森州 法兰克福,94.159.99.0/24,5,94.159.99.100;94.159.99.250;94.159.99.131;94.159.99.122;94.159.99.72
179,CGI GLOBAL LIMITED,法国 法兰西岛 巴黎,94.183.188.0/24,5,94.183.188.21;94.183.188.150;94.183.188.90;94.183.188.139;94.183.188.95
180,Digital Ocean,荷兰 北荷兰省 阿姆斯特丹,95.85.11.0/24,5,95.85.11.163;95.85.11.98;95.85.11.18;95.85.11.158;95.85.11.110
181,WAIcore Ltd,德国 黑森州 法兰克福,95.85.233.0/24,5,95.85.233.219;95.85.233.124;95.85.233.82;95.85.233.17;95.85.233.138
182,5G Network Operations Pty Ltd,美国 加州 洛杉矶,103.11.76.0/24,5,103.11.76.116;103.11.76.196;103.11.76.45;103.11.76.183;103.11.76.162
183,"Cloudflare, Inc.",加拿大 安大略 多伦多,104.19.35.0/24,5,104.19.35.19;104.19.35.94;104.19.35.25;104.19.35.44;104.19.35.35
184,Ace Data Centers,德国 黑森州 法兰克福,108.165.236.0/24,5,108.165.236.142;108.165.236.247;108.165.236.114;108.165.236.6;108.165.236.90
185,Aeza International LTD,德国 黑森州 法兰克福,109.120.138.0/24,5,109.120.138.192;109.120.138.149;109.120.138.15;109.120.138.102;109.120.138.131
186,Infobox,芬兰 新地区 赫尔辛基,109.120.185.0/24,5,109.120.185.231;109.120.185.227;109.120.185.210;109.120.185.201;109.120.185.18
187,ESA,捷克 南波希米亚州 盧日尼采河畔韋塞利,109.172.8.0/24,5,109.172.8.74;109.172.8.73;109.172.8.39;109.172.8.80;109.172.8.48
188,Fornex Hosting S.L,德国 黑森州 法兰克福,130.17.10.0/24,5,130.17.10.144;130.17.10.230;130.17.10.101;130.17.10.20;130.17.10.196
189,Ultimate Software Group,美国 内华达州 拉斯维加斯,135.84.76.0/24,5,135.84.76.152;135.84.76.34;135.84.76.149;135.84.76.146;135.84.76.120
190,Aeza Group LLC,德国 黑森州 法兰克福,138.124.93.0/24,5,138.124.93.120;138.124.93.143;138.124.93.5;138.124.93.184;138.124.93.139
191,Global Connectivity Solutions LLP,芬兰 新地区 赫尔辛基,138.124.244.0/24,5,138.124.244.33;138.124.244.145;138.124.244.176;138.124.244.40;138.124.244.182
192,ByteVirt LLC,日本 东京都 东京,141.11.138.0/24,5,141.11.138.202;141.11.138.102;141.11.138.167;141.11.138.218;141.11.138.72
193,u1host Amsterdam,荷兰 北荷兰省 阿姆斯特丹,144.31.70.0/24,5,144.31.70.96;144.31.70.233;144.31.70.73;144.31.70.213;144.31.70.122
194,Hostoff Limited,波兰 Mazovia 华沙,144.31.102.0/24,5,144.31.102.149;144.31.102.181;144.31.102.222;144.31.102.235;144.31.102.16
195,CHSL Helsinki,芬兰 新地区 赫尔辛基,144.31.132.0/24,5,144.31.132.231;144.31.132.149;144.31.132.190;144.31.132.187;144.31.132.91
196,Skystark VPS,荷兰 北荷兰省 阿姆斯特丹,153.56.132.0/24,5,153.56.132.226;153.56.132.189;153.56.132.161;153.56.132.102;153.56.132.86
197,JSC IOT,俄罗斯 Moscow 莫斯科,157.22.190.0/24,5,157.22.190.189;157.22.190.203;157.22.190.213;157.22.190.184;157.22.190.220
198,POWER-SERVERS-ROLE-ORG,芬兰 新地区 赫尔辛基,157.228.142.0/24,5,157.228.142.190;157.228.142.191;157.228.142.197;157.228.142.192;157.228.142.148
199,"DigitalOcean, LLC",新加坡 South West 新加坡,157.230.248.0/24,5,157.230.248.157;157.230.248.27;157.230.248.114;157.230.248.19;157.230.248.87
200,Fornex,德国 黑森州 法兰克福,162.248.164.0/24,5,162.248.164.51;162.248.164.35;162.248.164.71;162.248.164.40;162.248.164.9
201,Fornex,德国 黑森州 法兰克福,162.248.166.0/24,5,162.248.166.161;162.248.166.254;162.248.166.71;162.248.166.99;162.248.166.205
202,"DigitalOcean, LLC",新加坡 South West 新加坡,165.245.181.0/24,5,165.245.181.71;165.245.181.78;165.245.181.74;165.245.181.72;165.245.181.70
203,"Cloudflare, Inc.",加拿大 安大略 多伦多,172.64.229.0/24,5,172.64.229.121;172.64.229.80;172.64.229.224;172.64.229.206;172.64.229.125
204,Cloudflare WARP,美国 加利福尼亚州 聖荷西,172.69.23.0/24,5,172.69.23.174;172.69.23.77;172.69.23.172;172.69.23.179;172.69.23.106
205,Cloudflare WARP,美国 加利福尼亚州 聖荷西,172.71.159.0/24,5,172.71.159.126;172.71.159.173;172.71.159.19;172.71.159.52;172.71.159.112
206,Snowd Security OU,荷兰 北荷兰省 阿姆斯特丹,176.119.141.0/24,5,176.119.141.85;176.119.141.76;176.119.141.154;176.119.141.11;176.119.141.145
207,WAIcore Ltd,德国 黑森州 法兰克福,178.17.49.0/24,5,178.17.49.219;178.17.49.228;178.17.49.232;178.17.49.243;178.17.49.151
208,IT Hostline Ltd,意大利 Lombardy 梅罗内,179.255.190.0/24,5,179.255.190.24;179.255.190.4;179.255.190.21;179.255.190.3;179.255.190.5
209,Aeza Group LLC,瑞典 Stockholm County 斯德哥尔摩,185.103.103.0/24,5,185.103.103.199;185.103.103.240;185.103.103.148;185.103.103.234;185.103.103.236
210,Mohammad Booroumandfar,新加坡 North West 新加坡,185.115.207.0/24,5,185.115.207.190;185.115.207.82;185.115.207.149;185.115.207.102;185.115.207.141
211,Servinga6869,瑞士 楚格州 Hünenberg,185.195.69.0/24,5,185.195.69.209;185.195.69.64;185.195.69.158;185.195.69.72;185.195.69.200
212,Huize Holdings LLC,德国 黑森州 法兰克福,185.218.19.0/24,5,185.218.19.143;185.218.19.134;185.218.19.213;185.218.19.97;185.218.19.53
213,DA International Group Ltd,保加利亚 Sofia-Capital 索菲亞,185.223.253.0/24,5,185.223.253.130;185.223.253.13;185.223.253.11;185.223.253.172;185.223.253.115
214,Friendhosting LTD,捷克 Prague 布拉格,185.253.46.0/24,5,185.253.46.31;185.253.46.105;185.253.46.235;185.253.46.98;185.253.46.27
215,CGI GLOBAL LIMITED,拉脱维亚 Riga 里加,188.130.206.0/24,5,188.130.206.254;188.130.206.117;188.130.206.87;188.130.206.184;188.130.206.208
216,Orion Telekom Tim d.o.o.Beograd,美国 加州 洛杉矶,188.255.156.0/24,5,188.255.156.143;188.255.156.213;188.255.156.112;188.255.156.218;188.255.156.202
217,JaJoJoo LLC,西班牙 卡斯蒂利亚-莱昂 蓬费拉达,193.17.183.0/24,5,193.17.183.6;193.17.183.169;193.17.183.157;193.17.183.166;193.17.183.188
218,Senko Digital LLC,德国 黑森州 法兰克福,193.23.211.0/24,5,193.23.211.162;193.23.211.202;193.23.211.197;193.23.211.128;193.23.211.139
219,Avtobudplyus LLC,德国 黑森州 法兰克福,193.41.5.0/24,5,193.41.5.121;193.41.5.1;193.41.5.38;193.41.5.16;193.41.5.22
220,SkyCore Technologies L.L.C-FZ,荷兰 德伦特省 Meppel,194.0.194.0/24,5,194.0.194.227;194.0.194.105;194.0.194.177;194.0.194.59;194.0.194.109
221,POWER-SERVERS-ROLE-ORG,芬兰 新地区 赫尔辛基,194.53.54.0/24,5,194.53.54.250;194.53.54.226;194.53.54.6;194.53.54.84;194.53.54.201
222,RCS Technologies FZE LLC,德国 黑森州 法兰克福,194.58.33.0/24,5,194.58.33.206;194.58.33.18;194.58.33.193;194.58.33.220;194.58.33.218
223,Huize Holdings LLC,西班牙 马德里自治区 马德里,195.96.132.0/24,5,195.96.132.189;195.96.132.180;195.96.132.175;195.96.132.195;195.96.132.88
224,Virtual Systems LLC,荷兰 北荷兰省 哈勒姆,195.160.220.0/24,5,195.160.220.126;195.160.220.124;195.160.220.125;195.160.220.122;195.160.220.121
225,"DigitalOcean, LLC",荷兰 北荷兰省 阿姆斯特丹,198.199.126.0/24,5,198.199.126.228;198.199.126.69;198.199.126.143;198.199.126.194;198.199.126.245
226,A.I.A,美国 新泽西州 Secaucus,199.119.137.0/24,5,199.119.137.109;199.119.137.41;199.119.137.77;199.119.137.32;199.119.137.78
227,HostUS,加拿大 Quebec 蒙特利尔,202.5.16.0/24,5,202.5.16.16;202.5.16.4;202.5.16.8;202.5.16.17;202.5.16.13
228,Webcentral PTY LTD,美国 加州 洛杉矶,203.88.125.0/24,5,203.88.125.254;203.88.125.15;203.88.125.244;203.88.125.116;203.88.125.213
229,IT-Develop DOO,爱沙尼亚 哈爾尤縣 塔林,209.131.70.0/24,5,209.131.70.51;209.131.70.109;209.131.70.96;209.131.70.229;209.131.70.198
230,NetCrafters OU,芬兰 新地区 赫尔辛基,213.176.92.0/24,5,213.176.92.215;213.176.92.229;213.176.92.167;213.176.92.37;213.176.92.60
231,CGI GLOBAL LIMITED,法国 法兰西岛 巴黎,217.60.37.0/24,5,217.60.37.34;217.60.37.35;217.60.37.28;217.60.37.137;217.60.37.77
232,Aeza Group LLC,德国 黑森州 法兰克福,217.144.187.0/24,5,217.144.187.155;217.144.187.154;217.144.187.233;217.144.187.140;217.144.187.27
233,Aeza Group LLC,芬兰 新地区 赫尔辛基,217.144.188.0/24,5,217.144.188.181;217.144.188.151;217.144.188.147;217.144.188.35;217.144.188.187
234,Hong Kong Telecommunications (HKT) Limited,中国香港 Tsuen Wan District Tsuen Wan,219.76.13.0/24,5,219.76.13.181;219.76.13.166;219.76.13.169;219.76.13.167;219.76.13.177
235,Senko Digital LLC,德国 黑森州 法兰克福,2.26.26.0/24,4,2.26.26.220;2.26.26.194;2.26.26.152;2.26.26.33
236,Nekobyte International Limited,芬兰 新地区 赫尔辛基,2.26.28.0/24,4,2.26.28.205;2.26.28.167;2.26.28.11;2.26.28.130
237,CHSL Helsinki,芬兰 新地区 赫尔辛基,2.26.72.0/24,4,2.26.72.80;2.26.72.190;2.26.72.73;2.26.72.92
238,Xorek.Cloud Moscow,俄罗斯 Moscow 莫斯科,2.26.104.0/24,4,2.26.104.119;2.26.104.131;2.26.104.64;2.26.104.87
239,u1host Amsterdam,荷兰 北荷兰省 阿姆斯特丹,2.26.114.0/24,4,2.26.114.238;2.26.114.128;2.26.114.168;2.26.114.179
240,Ipxo,芬兰 皮爾卡區 倫派萊,2.26.147.0/24,4,2.26.147.109;2.26.147.67;2.26.147.71;2.26.147.65
241,nuxt.cloud hosting provider,芬兰 新地区 赫尔辛基,2.26.158.0/24,4,2.26.158.100;2.26.158.68;2.26.158.136;2.26.158.78
242,nuxt.cloud hosting provider,德国 黑森州 法兰克福,2.26.250.0/24,4,2.26.250.79;2.26.250.227;2.26.250.4;2.26.250.20
